mode,sample_index,model,crop_mae,gradient_error,edge_strength_ratio
easy,115,phasenet_default,0.05846622085048011,0.01365732867270708,0.911409318447113
easy,115,phasenet_big,0.058435520555959006,0.013651741668581963,0.9107219576835632
easy,115,complex_loss_matched,0.0584522890946502,0.013726429082453251,0.9192894697189331
easy,115,complex_full,0.05845039790607601,0.013726500794291496,0.919479250907898
medium,64,phasenet_default,0.06354652071734042,0.036368533968925476,0.8458824157714844
medium,64,phasenet_big,0.06363471314451706,0.036430004984140396,0.8466280102729797
medium,64,complex_loss_matched,0.06473027868554829,0.03693179413676262,0.8681373000144958
medium,64,complex_full,0.06463218903816671,0.036872632801532745,0.8681139945983887
hard,17,phasenet_default,0.08401567417090293,0.03411010280251503,0.9392061829566956
hard,17,phasenet_big,0.08370469972968611,0.034084297716617584,0.9403406381607056
hard,17,complex_loss_matched,0.08348607833050915,0.03440370783209801,0.9545734524726868
hard,17,complex_full,0.08347763102154442,0.034401457756757736,0.9546098113059998
extreme,16,phasenet_default,0.11198496631162752,0.04256866127252579,0.974065363407135
extreme,16,phasenet_big,0.11183140179940289,0.042486969381570816,0.973821759223938
extreme,16,complex_loss_matched,0.11172675603163075,0.04280535504221916,0.9833218455314636
extreme,16,complex_full,0.11183808399903172,0.042869698256254196,0.9832870960235596
