mode,sample_index,model,psnr,ssim,lpips,pce,representative_score
easy,115,phasenet_default,31.426908809350525,0.9041288495063782,0.16476139426231384,1.2425243683081881,0.12669984205533408
easy,115,phasenet_big,31.44710541102728,0.9047462344169617,0.1626116931438446,1.2412252271517101,0.12669984205533408
easy,115,complex_loss_matched,31.581264414414278,0.9064115285873413,0.14913633465766907,0.8440572105764611,0.12669984205533408
easy,115,complex_full,31.580657598998357,0.9064120054244995,0.14910291135311127,0.8439970198568932,0.12669984205533408
medium,64,phasenet_default,27.700025572212034,0.7919002175331116,0.2806345820426941,1.4896529608411502,0.1301278315940916
medium,64,phasenet_big,27.71183041945461,0.7926945090293884,0.27801451086997986,1.4884003474339427,0.1301278315940916
medium,64,complex_loss_matched,27.585449903604015,0.7894255518913269,0.24585339426994324,1.1244613000706076,0.1301278315940916
medium,64,complex_full,27.597819256350377,0.7897363305091858,0.2457071840763092,1.1243170518058472,0.1301278315940916
hard,17,phasenet_default,24.557015431437375,0.6782008409500122,0.3337545394897461,1.621772306738317,0.12109752851262723
hard,17,phasenet_big,24.576556775143736,0.6795803308486938,0.3311031460762024,1.6215717843627742,0.12109752851262723
hard,17,complex_loss_matched,24.57800439006828,0.6776002049446106,0.30892661213874817,1.2819149340829716,0.12109752851262723
hard,17,complex_full,24.57949805690457,0.6777121424674988,0.30878549814224243,1.2817940216623482,0.12109752851262723
extreme,16,phasenet_default,21.452538788900043,0.583695650100708,0.40011972188949585,1.7640265683200222,0.14913259242311339
extreme,16,phasenet_big,21.45911975571602,0.5846359729766846,0.3979211449623108,1.7638855539026945,0.14913259242311339
extreme,16,complex_loss_matched,21.452950496099568,0.5822126269340515,0.3786501884460449,1.433692290520827,0.14913259242311339
extreme,16,complex_full,21.450708478338257,0.5822606682777405,0.37845781445503235,1.433833129258816,0.14913259242311339
