model,mode,samples,psnr,ssim,lpips,pce
phasenet_default,easy,1,31.426908809350525,0.9041288495063782,0.16476139426231384,1.2425243683081881
phasenet_big,easy,1,31.44710541102728,0.9047462344169617,0.1626116931438446,1.2412252271517101
complex_loss_matched,easy,1,31.581264414414278,0.9064115285873413,0.14913633465766907,0.8440572105764611
complex_full,easy,1,31.580657598998357,0.9064120054244995,0.14910291135311127,0.8439970198568932
phasenet_default,medium,1,27.700025572212034,0.7919002175331116,0.2806345820426941,1.4896529608411502
phasenet_big,medium,1,27.71183041945461,0.7926945090293884,0.27801451086997986,1.4884003474339427
complex_loss_matched,medium,1,27.585449903604015,0.7894255518913269,0.24585339426994324,1.1244613000706076
complex_full,medium,1,27.597819256350377,0.7897363305091858,0.2457071840763092,1.1243170518058472
phasenet_default,hard,1,24.557015431437375,0.6782008409500122,0.3337545394897461,1.621772306738317
phasenet_big,hard,1,24.576556775143736,0.6795803308486938,0.3311031460762024,1.6215717843627742
complex_loss_matched,hard,1,24.57800439006828,0.6776002049446106,0.30892661213874817,1.2819149340829716
complex_full,hard,1,24.57949805690457,0.6777121424674988,0.30878549814224243,1.2817940216623482
phasenet_default,extreme,1,21.452538788900043,0.583695650100708,0.40011972188949585,1.7640265683200222
phasenet_big,extreme,1,21.45911975571602,0.5846359729766846,0.3979211449623108,1.7638855539026945
complex_loss_matched,extreme,1,21.452950496099568,0.5822126269340515,0.3786501884460449,1.433692290520827
complex_full,extreme,1,21.450708478338257,0.5822606682777405,0.37845781445503235,1.433833129258816
