model,mode,samples,psnr,ssim,lpips,pce
phasenet_default,easy,310,33.203647479430046,0.9337234748948005,0.08482762040089696,0.6708695007977241
phasenet_default,medium,310,29.932512991172864,0.8565679359820582,0.1315803068239362,0.9799883137738076
phasenet_default,hard,310,26.166407232618603,0.7421511637587701,0.19895375652779496,1.2633514901421095
phasenet_default,extreme,310,22.599623208095583,0.6158840340472037,0.2819197247585943,1.4838354004848968
phasenet_big,easy,310,33.23537117287702,0.9341416430088781,0.084030245379695,0.6695573921673409
phasenet_big,medium,310,29.961284363458237,0.857389582549372,0.13050911672293178,0.9790268963899885
phasenet_big,hard,310,26.186266353769657,0.7432942548586476,0.197650924907817,1.2628700099206676
phasenet_big,extreme,310,22.6129931552629,0.6171096342705911,0.28048833721587735,1.4835402867254477
complex_loss_matched,easy,310,38.09416506102239,0.9500605115967412,0.03831039890740818,0.383187391341405
complex_loss_matched,medium,310,31.916272330214333,0.8669500100035821,0.08506878710167873,0.6621824674218214
complex_loss_matched,hard,310,26.72560222417757,0.7484391000963027,0.1522732513791491,0.9297225626912371
complex_loss_matched,extreme,310,22.71501548448912,0.6191132776198849,0.23457433694913501,1.1397248052386573
complex_full,easy,310,38.113649028386654,0.950083347482066,0.038295677106878194,0.3828670761070614
complex_full,medium,310,31.921058741173628,0.8669752701636284,0.08504388467418104,0.6620263221912681
complex_full,hard,310,26.726219258483294,0.7484672816530351,0.15223987192636537,0.9296517207048792
complex_full,extreme,310,22.71505822853501,0.6191396294582274,0.23452784513393718,1.1396868589737712
