model,mode,samples,psnr,ssim,lpips,pce
ComplexPhaseNet-full,easy,310,32.02404758498224,0.8573466002941131,0.14710485511281032,0.8642511414735976
ComplexPhaseNet-full,medium,310,27.495004717131433,0.7599414827362183,0.2331583336750496,1.051354019188331
ComplexPhaseNet-full,hard,310,23.83160982509481,0.6622415370518161,0.3218206754284761,1.2036911492923998
ComplexPhaseNet-full,extreme,310,20.942251232708486,0.5783576240462641,0.40417164227054003,1.3046048465398383
ComplexPhaseNet-Loss-Matched,easy,310,32.01910067024661,0.8573024642082953,0.14718252229936152,0.8643320492413974
ComplexPhaseNet-Loss-Matched,medium,310,27.493283281983942,0.7598853844788767,0.23325542561754944,1.0514023012500602
ComplexPhaseNet-Loss-Matched,hard,310,23.831157765262233,0.6621958149536964,0.32192771384913116,1.2037126311830966
ComplexPhaseNet-Loss-Matched,extreme,310,20.941858296520504,0.5783161599789897,0.4042684800021591,1.3046344659326425
PhaseNet-big,easy,310,31.231732821919522,0.8531425924070419,0.17066660685644996,1.1819976783345274
PhaseNet-big,medium,310,27.186267070683325,0.757249705445382,0.25620890016096737,1.3895305898999086
PhaseNet-big,hard,310,23.722199857515132,0.6609206481806693,0.34397382197240667,1.5541741817784092
PhaseNet-big,extreme,310,20.907897074014546,0.5781911134719848,0.4246366749127065,1.6642507873030115
PhaseNet-default,easy,310,31.202369761184368,0.8522123941490727,0.17228372797910724,1.1829437982768534
PhaseNet-default,medium,310,27.169534771464807,0.7561195283166824,0.2581909707386888,1.3900713765414328
PhaseNet-default,hard,310,23.712641046981435,0.6596946624017531,0.3460264192533589,1.5543462630798548
PhaseNet-default,extreme,310,20.90287394736342,0.5769709176113529,0.4267178574937486,1.6641633839419745
